acao_realizada;caracteristica_acao;n_profissionais_atendidos;descricao_acao;data_acao;data_publicacao;municipio_atendido;user_id
Apoio Tecnico Presencial (ATP);Apoio tecnico individualizado na SAAS;1;Demonstrativo 2020, Execucao e Prestacao de contas 2021 FEAS, LEI do SUAS;25/02/2022;25/02/2022;Campo Novo do Parecis;1
Apoio Tecnico Presencial (ATP);Apoio tecnico individualizado na SAAS;1;Orientacoões referente gestao do cadastro unico e PAB e sistema SIGPBF.;24/02/2022;24/02/2022;Confresa;1
Apoio Tecnico Presencial (ATP);Apoio tecnico individualizado na SAAS;1;orientacoes sobre a prestacao de contas dos recursos do SUAS;18/02/2022;18/02/2022;Poxoreu;1
Apoio Tecnico Presencial (ATP);Apoio tecnico individualizado no municipio;1;"VISITA TecNICA - Apresenta o da Politica de Assistencia Social para 80 pessoas, servidores da secretaria e da rede socioassistencial do municipio, apoio tecnico em conjunto com a Superintendencia de Gestao do SUAS. (Ariane).
";17/02/2022;17/02/2022;Diamantino;1
Apoio Tecnico Presencial (ATP);Apoio tecnico individualizado na SAAS;1;Orientacao sobre Servico de Acolhimento para Criancas e Adolescentes;14/02/2022;14/02/2022;Confresa;1
Apoio Tecnico Presencial (ATP);Apoio tecnico individualizado na SAAS;1;Orientacoes sobre o processo de revisão da Lei de beneficios eventuais e a importancia da implantacao da Lei do SUAS incorporando os beneficios, realizada em conjunto com a Coord.de Gestao e Reg. Financeira.;11/02/2022;02/11/2022;Indiavai;1
Apoio Tecnico Presencial (ATP);Apoio tecnico individualizado na SAAS;1;Demonstrativo 2020, Execucao e Prestacao de contas 2021 FEAS, LEI do SUAS;11/02/2022;02/11/2022;Indiavai;1
Apoio Tecnico Presencial (ATP);Apoio tecnico individualizado na SAAS;1;Sistema CNEAS;31/01/2022;31/01/2022;Várzea Grande;1
Apoio Tecnico Presencial (ATP);Apoio tecnico individualizado na SAAS;1;Apoio Tecnico presencial para a gestora do PAB/Cad com orientacoes sobre o Programa Auxilio Brasil.;20/01/2022;20/01/2022;Rio Branco;1
Apoio Tecnico Presencial (ATP);Apoio tecnico individualizado na SAAS;1;Orientacoes sobre a elaboracao do PMAS;08/03/2022;03/08/2022;Nova Xavantina;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Atendimento referente a contratação de profissionais do SUAS, feito um dialogo e encaminhado material referente ao assunto;05/04/2022;17/08/2022;Ipiranga do Norte;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;CENSO SUAS 2021 -;03/01/2022;17/08/2022;Ipiranga do Norte;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;CENSO SUAS 2021;03/01/2022;17/08/2022;Várzea Grande;1
Apoio Tecnico Não Presencial (ATNP);Sítios eletrônicos e aplicativos;0;Regulação: PL da Politica de Assistência Social de Feliz Natal;03/03/2022;17/08/2022;Feliz Natal;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;25/02/2022;17/08/2022;Ribeirão Cascalheira;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;25/02/2022;17/08/2022;Poxoréu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Análise Prestação de Contas FEAS 2021 e Plano de Ação FEAS 2022;25/02/2022;17/08/2022;Guiratinga;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre acesso as contas e repasses federais e estadual;25/02/2022;17/08/2022;Chapada dos Guimarães;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre estrutura orçamentária do FMAS;25/02/2022;17/08/2022;Nova Monte Verde;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Plano de Ação FEAS 2022;25/02/2022;17/08/2022;Canarana;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre reprogramação recursos COVID e utilização de recurso;25/02/2022;17/08/2022;Alto Araguaia;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre adequação da legislação da política de assistência social;25/02/2022;17/08/2022;Dom Aquino;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre adequação da legislação da política de assistência social;25/02/2022;17/08/2022;Reserva do Cabaçal;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre adequação da legislação da política de assistência social;25/02/2022;17/08/2022;Chapada dos Guimarães;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre Prestação de Contas 2021 do Cofinanciamento Estadual;25/02/2022;17/08/2022;Indiavaí;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Gestão Financeira do SUAS;25/02/2022;17/08/2022;Castanheira;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;25/02/2022;17/08/2022;Itanhangá;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;25/02/2022;17/08/2022;Porto Esperidião;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;orientação referente ao sistema SAA (acesso à carteirinha do idoso);25/02/2022;17/08/2022;Novo Santo Antônio;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;orientação referente ao acesso no sisetema SAA (trabalhador);25/02/2022;17/08/2022;Colíder;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Atendimento referente a ativação de perfil de acesso ao sistema SAA - solicitado na Rede SUAS;25/02/2022;17/08/2022;Castanheira;1
Apoio Tecnico Não Presencial (ATNP);Videoconferências e transmissões ao vivo;0;8 Municípios ( Poxoréo, Rondolandia, Ponte Branca, Feliz Natal, Dom Aquino, Reserva do Cabaçal, Chapada dos Guimarães, São José do Povo) - Monitoramento art 30 da LOAS - CMAS;24/02/2022;17/08/2022;**Grupo de municípios;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre prestação de contas 2021 e plano de ação 2022 FEAS;24/02/2022;17/08/2022;Ribeirãozinho;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;24/02/2022;17/08/2022;São José do Xingu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;24/02/2022;17/08/2022;Alto Garças;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;24/02/2022;17/08/2022;Alto Garças;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;24/02/2022;17/08/2022;Juruena;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Portaria EquipaSuas;24/02/2022;17/08/2022;Brasnorte;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Análise Prestação de Contas FEAS 2021 e Plano de Ação FEAS 2022;24/02/2022;17/08/2022;Carlinda;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre reprogramação recursos COVID;24/02/2022;17/08/2022;Nobres;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Plano de Ação FEAS 2022;24/02/2022;17/08/2022;Alto Araguaia;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Prestação de Contas FEAS 2021;24/02/2022;17/08/2022;Tesouro;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre Prestação de Contas 2021 do Cofinanciamento Estadual;24/02/2022;17/08/2022;Nova Xavantina;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Gestão Financeira do SUAS;24/02/2022;17/08/2022;Água Boa;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre adequação da legislação da política de assistência social;24/02/2022;17/08/2022;Poxoréu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre ativação do perfil da presidente do CMAS no sistema SAA;24/02/2022;17/08/2022;Porto Esperidião;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao sistema SAA (acesso ao RMA);24/02/2022;17/08/2022;Barão de Melgaço;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao sistema SAA (acesso ao RMA);24/02/2022;17/08/2022;Barra do Garças;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao sistema SAA (ativação de acesso de tecnico);24/02/2022;17/08/2022;Colíder;1
Apoio Tecnico Não Presencial (ATNP);Normas, orientações técnicas e materiais informativos;0;Emenda Parlamentar;23/02/2022;17/08/2022;Figueirópolis D'Oeste;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre a prestação de contas FEAS 2021;23/02/2022;17/08/2022;Arenápolis;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;23/02/2022;17/08/2022;Vila Bela da Santíssima Trindade;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;23/02/2022;17/08/2022;Jauru;1
